"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"10058",11431,"Josh Saunders","Basic","Puerto Rico","Major League Soccer","GK",66,"New York City Football Club","70","64","65","67","65"
"10073",11446,"Ertugrul Taskiran","Basic","Turkey","Süper Lig","GK",66,"Fenerbahçe SK","67","66","64","65","64"
"10075",11448,"Bora Körk","Basic","Turkey","Süper Lig","GK",66,"Akhisar Belediyespor","72","67","62","61","62"
"10083",11456,"Diego","Basic","Brazil","Liga NOS","GK",66,"Vitória Setúbal","68","62","68","70","68"
"10088",11461,"Marco Wölfli","Basic","Switzerland","Raiffeisen Super League","GK",66,"BSC Young Boys","73","69","64","55","64"
"10093",11466,"Niki Mäenpää","Basic","Finland","EFL Championship","GK",66,"Brighton & Hove Albion","68","66","64","68","64"
"10095",11468,"Arnaud Balijon","Basic","France","Domino’s Ligue 2","GK",66,"Red Star FC","66","67","69","66","69"
"10096",11469,"Richard Strebinger","Basic","Austria","Österreichische Fußball-Bundesliga","GK",66,"SK Rapid Wien","66","74","64","63","64"
"10103",11476,"Eduardo Lobos","Basic","Chile","Campeonato Scotiabank","GK",66,"CD Everton de Viña del Mar","64","66","69","69","69"
"10121",11494,"Jackson Mabokgwane","Basic","South Africa","International","GK",66,"South Africa","66","73","65","63","65"
"10131",11504,"Jayson Leutwiler","Basic","Switzerland","EFL League One","GK",66,"Shrewsbury","67","69","68","64","68"
"10138",11511,"Michael McGovern","Basic","Northern Ireland","EFL Championship","GK",66,"Norwich City","66","69","67","66","67"
"10145",11518,"Colin Doyle","Basic","Republic of Ireland","EFL League One","GK",66,"Bradford City","68","68","65","66","65"
"10186",11560,"Brad Knighton","Basic","United States","Major League Soccer","GK",66,"New England Revolution","66","63","67","67","67"
"10233",11609,"Marián Kelemen","Basic","Slovakia","T-Mobile Ekstraklasa","GK",66,"Jagiellonia Bialystok","68","64","68","63","68"
"10275",11652,"Johann Carrasso","Basic","France","Domino’s Ligue 2","GK",66,"Stade de Reims","64","63","69","70","69"
"10281",11658,"Melitón Hernández","Basic","Mexico","LIGA Bancomer MX","GK",66,"Tiburones Rojos de Veracruz","69","68","67","65","67"
"10293",11670,"Andreas Lukse","Basic","Austria","Österreichische Fußball-Bundesliga","GK",66,"SCR Altach","70","70","62","63","62"
"10330",11709,"Biel Ribas","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"UCAM Murcia CF","68","67","65","65","65"
"10336",11715,"Matthieu Dreyer","Basic","France","Ligue 1","GK",66,"Stade Malherbe Caen","66","71","63","70","63"
"10341",11720,"Dan Kennedy","Basic","United States","Major League Soccer","GK",66,"LA Galaxy","65","66","68","66","68"
"10365",11744,"Kristof Van Hout","Basic","Belgium","Belgium Pro League","GK",66,"KVC Westerlo","71","65","68","67","68"
"10380",11759,"Oscar Jansson","Basic","Sweden","Allsvenskan","GK",66,"Örebro SK","72","74","61","60","61"
"10381",11760,"Sondre Løvseth Rossbach","Basic","Norway","Tippeligaen","GK",66,"Odds BK","67","69","64","68","64"
"10385",11764,"Lucas Giovini","Basic","Argentina","Primera División","GK",66,"Quilmes Atlético Club","67","66","67","60","67"
"10389",11768,"Ján Novota","Basic","Slovakia","Österreichische Fußball-Bundesliga","GK",66,"SK Rapid Wien","68","63","69","65","69"
"10393",11772,"Rodrigo Naranjo","Basic","Chile","Campeonato Scotiabank","GK",66,"Deportes Iquique","69","65","64","67","64"
"10394",11773,"Janis Blaswich","Basic","Germany","Bundesliga","GK",66,"Borussia Mönchengladbach","69","74","60","68","60"
"10396",11775,"Iven Austbø","Basic","Norway","Tippeligaen","GK",66,"Viking FK","65","67","65","66","65"
"10398",11777,"Eray Birniçan","Basic","Turkey","Süper Lig","GK",66,"Kasimpasa SK","63","72","73","62","73"
"10403",11782,"José Juan","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"CD Lugo","78","66","58","62","58"
"10408",11787,"Juan Carlos Olave","Basic","Argentina","Primera División","GK",66,"Belgrano de Córdoba","66","54","77","68","77"
"10411",11790,"Enrique Bologna","Basic","Argentina","Primera División","GK",66,"River Plate","68","70","66","67","66"
"10419",11798,"Bozhidar Mitrev","Basic","Bulgaria","International","GK",66,"Bulgaria","60","68","66","69","66"
"10425",11804,"Daniel Heuer Fernandes","Basic","Portugal","Bundesliga","GK",66,"SV Darmstadt 98","68","73","59","65","59"
"10446",11825,"David Jensen","Basic","Denmark","Eredivisie","GK",66,"FC Utrecht","63","66","66","66","66"
"10452",11831,"Hannes Þór Halldórsson","Basic","Iceland","Alka Superliga","GK",66,"Randers FC","69","68","66","62","66"
"10464",11843,"Nelson Ramos","Basic","Colombia","Liga Dimayor","GK",66,"Fortaleza CEIF","58","67","68","71","68"
"10468",11847,"Pavels Šteinbors","Basic","Latvia","T-Mobile Ekstraklasa","GK",66,"Arka Gdynia","68","68","66","63","66"
"10492",11871,"Julián","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"UD Almería","63","60","72","66","72"
"10493",11872,"Mike Maignan","Basic","France","Ligue 1","GK",66,"LOSC Lille","69","69","65","65","65"
"10495",11874,"Frank Fielding","Basic","England","EFL Championship","GK",66,"Bristol City","65","68","66","67","66"
"10527",11906,"Alfredo Saldívar","Basic","Mexico","LIGA Bancomer MX","GK",66,"U.N.A.M.","67","69","64","66","64"
"10538",11917,"Mirko Salvi","Basic","Switzerland","Raiffeisen Super League","GK",66,"FC Lugano","64","66","64","71","64"
"10542",11921,"Jeff Attinella","Basic","United States","Major League Soccer","GK",66,"Real Salt Lake","70","67","65","65","65"
"10545",11924,"Arnold Origi","Basic","Kenya","Tippeligaen","GK",66,"Lillestrøm SK","71","69","66","63","66"
"10566",11945,"Miguel Fraga","Basic","Mexico","LIGA Bancomer MX","GK",66,"Club Atlas","72","69","64","61","64"
"10591",11970,"Tommy Lee","Basic","England","EFL League One","GK",66,"Chesterfield","62","73","66","62","66"
"10613",11992,"Ugurcan Çakir","Basic","Turkey","Süper Lig","GK",66,"Trabzonspor","68","71","63","63","63"
"10614",11993,"Ugurcan Çakir","Basic","Turkey","Süper Lig","GK",66,"Trabzonspor","68","71","63","63","63"
"10620",11999,"César Rigamonti","Basic","Argentina","Primera División","GK",66,"Quilmes Atlético Club","66","66","67","64","67"
"10621",12000,"Joël Drommel","Basic","Netherlands","Eredivisie","GK",66,"FC Twente","72","65","61","65","61"
"10625",12004,"Federico Crivelli","Basic","Argentina","LIGA Bancomer MX","GK",66,"Jaguares de Chiapas","68","57","70","65","70"
"10639",12018,"Emil Audero","Basic","Italy","Calcio A","GK",66,"Juventus","72","76","60","64","60"
"10690",12069,"Thomas Renault","Basic","France","Domino’s Ligue 2","GK",66,"US Orléans Loiret Football","67","69","67","64","67"
"10721",12100,"Alex Meret","Basic","Italy","Calcio B","GK",66,"Ferrara","69","73","64","60","64"
"10722",12101,"Alessandro Micai","Basic","Italy","Calcio B","GK",66,"Bari","69","69","68","69","68"
"10738",12117,"Edgar Badía","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"CF Reus","71","60","71","65","71"
"10768",12147,"Thomas Gebauer","Basic","Germany","Österreichische Fußball-Bundesliga","GK",66,"SV Guntamatic Ried","63","64","70","67","70"
"10791",12170,"Miroslav Lobantsev","Basic","Russia","Sogaz Russian Football Championship","GK",66,"Lokomotiv Moscow","69","70","68","61","68"
"10795",12174,"Mario Fernández","Basic","Spain","LaLiga Santander","GK",66,"CA Osasuna","72","73","62","63","62"
"10805",12184,"Simone Aresti","Basic","Italy","Calcio A","GK",66,"Pescara","66","65","69","65","69"
"10806",12185,"Simone Aresti","Basic","Italy","Calcio B","GK",66,"Terni","66","65","69","65","69"
"10817",12196,"Ben Hamer","Basic","England","Premier League","GK",66,"Leicester City","70","67","64","64","64"
"10819",12198,"Guillaume Faivre","Basic","Switzerland","Raiffeisen Super League","GK",66,"FC Thun","66","68","68","71","68"
"10831",12210,"Kevin Müller","Basic","Germany","Bundesliga 2","GK",66,"1. FC Heidenheim 1846","64","71","67","63","67"
"10839",12218,"Luuk Koopmans","Basic","Netherlands","Eredivisie","GK",66,"PSV","66","68","66","64","66"
"10842",12221,"Gibran Lajud","Basic","Mexico","LIGA Bancomer MX","GK",66,"Club Tijuana","68","69","69","64","69"
"10850",12229,"Santamaría","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"RCD Mallorca","67","59","66","75","66"
"10870",12249,"Evgeniy Gorodov","Basic","Russia","Sogaz Russian Football Championship","GK",66,"Terek Grozny","61","69","73","66","73"
"10871",12250,"Ramazan Köse","Basic","Turkey","Süper Lig","GK",66,"Kasimpasa SK","70","72","69","65","69"
"10879",12258,"Sascha Burchert","Basic","Germany","Bundesliga 2","GK",66,"SpVgg Greuther Fuerth","63","68","67","65","67"
"10912",12291,"Joël Mall","Basic","Switzerland","Raiffeisen Super League","GK",66,"Grasshopper Club Zürich","67","74","62","63","62"
"10925",12305,"Abdullah Al Mayoof","Basic","Saudi Arabia","Dawry Jameel","GK",66,"Al Hilal","64","74","64","62","64"
"10933",12313,"Zac MacMath","Basic","United States","Major League Soccer","GK",66,"Colorado Rapids","69","71","66","61","66"
"10969",12355,"Pablo Torresagasti","Basic","Argentina","Liga Dimayor","GK",66,"Rionegro Águilas","64","59","75","75","75"
"10989",12375,"Carlo Pinsoglio","Basic","Italy","Calcio B","GK",66,"Latina","69","69","64","65","64"
"11131",12524,"Tom Muyters","Basic","Belgium","Eredivisie","GK",65,"Excelsior","65","64","67","67","67"
"11139",12532,"Christoffer Källqvist","Basic","Sweden","Allsvenskan","GK",65,"BK Häcken","55","59","70","72","70"
"11140",12533,"Espen Bugge Pettersen","Basic","Norway","Tippeligaen","GK",65,"Strømsgodset IF","62","63","64","67","64"
"11141",12534,"Lukasz Zaluska","Basic","Poland","T-Mobile Ekstraklasa","GK",65,"Wisla Kraków","61","64","68","66","68"
"11161",12554,"Kim Yong Dae","Basic","Korea Republic","K LEAGUE Classic","GK",65,"Ulsan Hyundai Horang-i","64","67","65","66","65"
"11164",12557,"Theo Zwarthoed","Basic","Netherlands","Eredivisie","GK",65,"Go Ahead Eagles","74","52","65","69","65"
"11180",12573,"Kenneth Høie","Basic","Norway","Allsvenskan","GK",65,"Djurgårdens IF","67","67","65","56","65"
"11184",12577,"Fabien Farnolle","Basic","Benin","Domino’s Ligue 2","GK",65,"Havre Athletic Club","66","60","70","66","70"
"11216",12609,"Alberto Pomini","Basic","Italy","Calcio A","GK",65,"Sassuolo","64","67","69","61","69"
"11218",12611,"Carlos Lampe","Basic","Bolivia","Campeonato Scotiabank","GK",65,"CD Huachipato","65","68","63","69","63"
"11222",12615,"Lee Nicholls","Basic","England","EFL League One","GK",65,"Milton Keynes Dons","66","66","62","66","62"
"11224",12617,"Yannick Thoelen","Basic","Belgium","Belgium Pro League","GK",65,"KAA Gent","67","69","65","65","65"
"11231",12624,"Josué Ayala","Basic","Argentina","Primera División","GK",65,"Atlético Tucumán","66","68","63","65","63"
"11232",12625,"Marcus Bettinelli","Basic","England","EFL Championship","GK",65,"Fulham","69","69","67","65","67"
"11249",12642,"Alfonso Blanco","Basic","Mexico","LIGA Bancomer MX","GK",65,"Pachuca","62","65","64","69","64"
"11253",12646,"António Filipe","Basic","Portugal","Liga NOS","GK",65,"Chaves","67","63","67","69","67"
"11254",12647,"José Carvallo","Basic","Peru","International","GK",65,"Peru","73","61","68","67","68"
"11256",12649,"Cican Stankovic","Basic","Austria","Österreichische Fußball-Bundesliga","GK",65,"FC Red Bull Salzburg","70","67","63","65","63"
"11259",12652,"Jak Alnwick","Basic","England","EFL League One","GK",65,"Port Vale","67","66","64","64","64"
"11261",12654,"Anthony Moris","Basic","Luxemburg","Belgium Pro League","GK",65,"KV Mechelen","68","69","63","68","63"
"11273",12666,"Mehdi Jeannin","Basic","Algeria","Domino’s Ligue 2","GK",65,"Clermont Foot 63","67","71","66","61","66"
"11325",12718,"Mirko Pigliacelli","Basic","Italy","Calcio A","GK",65,"Pescara","66","73","64","64","64"
"11331",12724,"Danny Vukovic","Basic","Australia","Hyundai A-League","GK",65,"Sydney FC","66","67","60","65","60"
"11343",12736,"Lee Grant","Basic","England","Premier League","GK",65,"Stoke City","68","66","69","54","69"
"11344",12737,"Lee Grant","Basic","England","EFL Championship","GK",65,"Derby County","68","66","69","54","69"
"11346",12739,"Brice Samba","Basic","Congo","Ligue 1","GK",65,"Olympique de Marseille","66","67","62","64","62"
"11350",12743,"Luca Lezzerini","Basic","Italy","Calcio A","GK",65,"Fiorentina","67","70","64","60","64"
"11352",12745,"Thorsten Kirschbaum","Basic","Germany","Bundesliga 2","GK",65,"1. FC Nürnberg","67","71","63","62","63"
"11366",12759,"Oumar Sissoko","Basic","Mali","Domino’s Ligue 2","GK",65,"US Orléans Loiret Football","67","71","64","62","64"
"11374",12767,"Donovan Léon","Basic","France","Domino’s Ligue 2","GK",65,"Stade Brestois 29","67","70","64","60","64"
"11386",12779,"Roy Kortsmit","Basic","Netherlands","Eredivisie","GK",65,"Sparta Rotterdam","68","66","66","66","66"
"11389",12782,"Joe Willis","Basic","United States","Major League Soccer","GK",65,"Houston Dynamo","68","65","68","65","68"
"11390",12783,"Ažbe Jug","Basic","Slovenia","Liga NOS","GK",65,"Sporting CP","67","65","65","62","65"
"11475",12869,"Loïc Badiashile","Basic","France","Ligue 1","GK",65,"AS Monaco Football Club SA","67","68","66","66","66"
"11485",12881,"Riffi Mandanda","Basic","DR Congo","Domino’s Ligue 2","GK",65,"Athlétic Club Ajaccio","66","69","64","64","64"
"11495",12891,"Mickaël Meira","Basic","Portugal","Liga NOS","GK",65,"Boavista FC","67","63","69","66","69"
"11510",12906,"Luboš Kamenár","Basic","Slovakia","T-Mobile Ekstraklasa","GK",65,"Slask Wroclaw","63","63","71","61","71"
"11520",12916,"Alexander Stolz","Basic","Germany","Bundesliga","GK",65,"TSG 1899 Hoffenheim","70","63","64","68","64"
"11566",12964,"Daniel Davari","Basic","Iran","Bundesliga 2","GK",65,"DSC Arminia Bielefeld","65","67","63","65","63"
"11586",12984,"Scott Brown","Basic","England","EFL League Two","GK",65,"Wycombe Wanderers","65","70","64","63","64"
"11610",13008,"José Suarez","Basic","Spain","LaLiga Santander","GK",65,"FC Barcelona","67","67","65","63","65"
"11619",13017,"Joshua Smits","Basic","Netherlands","Eredivisie","GK",65,"N.E.C.","67","65","64","65","64"
"11635",13033,"Patrick Rakovsky","Basic","Germany","Bundesliga 2","GK",65,"1. FC Nürnberg","69","70","57","59","57"
"11640",13038,"Kim Jin Young","Basic","Korea Republic","K LEAGUE Classic","GK",65,"Pohang Steelers","66","66","64","65","64"
"11651",13049,"Robert Zwinkels","Basic","Netherlands","Eredivisie","GK",65,"ADO Den Haag","66","68","68","61","68"
"11653",13051,"Roman Gerus","Basic","Russia","Sogaz Russian Football Championship","GK",65,"FC Arsenal Tula","62","68","66","61","66"
"11708",13108,"Vedran Janjetovic","Basic","Australia","Hyundai A-League","GK",65,"Sydney FC","66","68","64","60","64"
"11720",13120,"Fawaz Al Qarni","Basic","Saudi Arabia","Dawry Jameel","GK",65,"Al Ittihad","67","69","66","62","66"
"11772",13173,"Niklas Lomb","Basic","Germany","Bundesliga","GK",65,"Bayer 04 Leverkusen","70","70","64","61","64"
"11789",13190,"Ahmed Ali Al Kassar","Basic","Saudi Arabia","Dawry Jameel","GK",65,"Ettifaq FC","66","69","65","64","65"
"11801",13203,"Nicolás Avellaneda","Basic","Argentina","Primera División","GK",65,"Club Atlético Lanús","66","71","62","62","62"
"11823",13226,"Assaf Al Qarni","Basic","Saudi Arabia","Dawry Jameel","GK",65,"Al Ittihad","64","65","66","66","66"
"11832",13235,"Darío Melo","Basic","Chile","Campeonato Scotiabank","GK",65,"CD Palestino","63","70","60","68","60"
"11835",13238,"Israel Villaseñor","Basic","Mexico","LIGA Bancomer MX","GK",65,"Puebla","65","67","66","68","66"
"11837",13240,"Sebastián Cuerdo","Basic","Argentina","Campeonato Scotiabank","GK",65,"CD Cobresal","65","67","67","65","67"
"11842",13246,"Kenny Steppe","Basic","Belgium","Belgium Pro League","GK",65,"SV Zulte-Waregem","66","68","65","64","65"
"11853",13257,"Abdullah Al Owayshir","Basic","Saudi Arabia","Dawry Jameel","GK",65,"Al Fateh","64","64","65","69","65"
"11854",13258,"Abdullah Al Owayshir","Basic","Saudi Arabia","Dawry Jameel","GK",65,"Al Fateh","64","64","65","69","65"
"11865",13269,"Yves De Winter","Basic","Belgium","Eredivisie","GK",65,"Roda JC Kerkrade","68","64","66","64","66"
"12001",13407,"Peter Abrahamsson","Basic","Sweden","Allsvenskan","GK",65,"BK Häcken","65","65","68","66","68"
"12002",13408,"Peter Abrahamsson","Basic","Sweden","Allsvenskan","GK",65,"BK Häcken","65","65","68","66","68"
"12050",13456,"Jhonny Da Silva","Basic","Uruguay","Liga Dimayor","GK",65,"Atlético Huila","65","66","64","66","64"
"12074",13480,"Augusto Batalla","Basic","Argentina","Primera División","GK",65,"River Plate","62","68","61","66","61"
"12110",13516,"Juan Castillo","Basic","Uruguay","Liga Dimayor","GK",65,"Patriotas Boyacá FC","68","63","68","62","68"
"12113",13519,"Danny Ward","Basic","Wales","EFL Championship","GK",65,"Huddersfield Town","68","67","64","65","64"
"12135",13541,"Anton Mitryushkin","Basic","Russia","Raiffeisen Super League","GK",65,"FC Sion","70","67","64","60","64"
"12146",13552,"Jefferson Martínez","Basic","Colombia","Liga Dimayor","GK",65,"Envigado FC","66","67","65","64","65"
"12157",13563,"Alex Cisak","Basic","Australia","EFL League Two","GK",65,"Leyton Orient","69","68","65","59","65"
"12165",13571,"Frederik Rønnow","Basic","Denmark","Alka Superliga","GK",65,"Brøndby IF","64","63","70","63","70"
"12167",13573,"Laurent Henkinet","Basic","Belgium","Belgium Pro League","GK",65,"Waasland-Beveren","69","67","61","68","61"
"12181",13587,"Fatih Öztürk","Basic","Turkey","Süper Lig","GK",65,"Akhisar Belediyespor","69","68","63","61","63"
"12239",13646,"Mauricio Caranta","Basic","Argentina","Primera División","GK",65,"Club Atlético Talleres","55","63","68","70","68"
"12248",13655,"Radoslaw Cierzniak","Basic","Poland","T-Mobile Ekstraklasa","GK",65,"Legia Warszawa","69","64","69","64","69"
"12254",13661,"Queco Piña","Basic","Spain","LaLiga 1 I 2 I 3","GK",65,"SD Huesca","60","57","76","74","76"
"12273",13682,"Marko Maric","Basic","Croatia","Bundesliga","GK",65,"TSG 1899 Hoffenheim","72","70","67","62","67"
